METRIC,VALUE
SOURCE_ROWS,229582
CONTEXT_ROWS,191
LIMITED_ROWS,0
FAIL_ROWS,0
UNIQUE_DATES,191
DECISION_TIME,09:10:00
LATEST_ALLOWED_BAR,09:09:00
POINT_IN_TIME_POLICY,09:10 decision uses <=09:09 only
MARKET_CONTEXT_AUDIT,PASS
