PERIOD_INDEX,PERIOD_KEY,OBSERVATION_START,OBSERVATION_END,N225_DATA_STATUS,N225_SEMANTIC_STATUS,PIT_STATUS,ROW_ERROR_COUNT,ROW_ERRORS
32,2025-08-12__2025-08-15,2025-08-12,2025-08-15,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
33,2025-08-18__2025-08-22,2025-08-18,2025-08-22,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
34,2025-08-25__2025-08-29,2025-08-25,2025-08-29,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
35,2025-09-01__2025-09-05,2025-09-01,2025-09-05,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
36,2025-09-08__2025-09-12,2025-09-08,2025-09-12,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
37,2025-09-16__2025-09-19,2025-09-16,2025-09-19,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
38,2025-09-22__2025-09-26,2025-09-22,2025-09-26,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
39,2025-09-29__2025-10-03,2025-09-29,2025-10-03,DAY_DATA_AVAILABLE,OBSERVED_AFTER_PERIOD,REQUIRES_SHIFT_BEFORE_PREPERIOD_USE,0,
40,2025-10-06__2025-10-10,2025-10-06,2025-10-10,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
41,2025-10-14__2025-10-17,2025-10-14,2025-10-17,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
42,2025-10-20__2025-10-24,2025-10-20,2025-10-24,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
43,2025-10-27__2025-10-31,2025-10-27,2025-10-31,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
44,2025-11-04__2025-11-07,2025-11-04,2025-11-07,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
45,2025-11-10__2025-11-14,2025-11-10,2025-11-14,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
46,2025-11-17__2025-11-21,2025-11-17,2025-11-21,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
47,2025-11-25__2025-11-28,2025-11-25,2025-11-28,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
48,2025-12-01__2025-12-05,2025-12-01,2025-12-05,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
49,2025-12-08__2025-12-12,2025-12-08,2025-12-12,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
50,2025-12-15__2025-12-19,2025-12-15,2025-12-19,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
51,2025-12-22__2025-12-26,2025-12-22,2025-12-26,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
52,2025-12-29__2025-12-30,2025-12-29,2025-12-30,NO_DAY_DATA,NOT_OBSERVED,UNAVAILABLE,0,
