PERIOD_INDEX,TARGET_RETURN,投資信託_WOW_NET,法人_WOW_NET,投資信託_BUY_RATIO,投資信託_CURR_NET,N225_NIGHT_CLOSE,N225_NIGHT_LOW,N225_DAY_LOW,法人_ROLL12_NET,法人_CURR_NET,N225_DAY_CLOSE,N225_DAY_VOLUME,N225_DAY_HIGH,N225_NIGHT_HIGH,法人_BUY_RATIO,N225_DAY_OPEN,N225_NIGHT_OPEN,信託銀行_WOW_NET,N225_NIGHT_VOLUME,金融機関_WOW_NET,法人_PREV_NET
11,0.002981,-0.206333,-0.451473,-1.126013,-0.677464,-0.618174,-0.518869,-0.438986,0.9825,-0.501252,-0.617539,-1.018813,-0.701911,-0.746505,-0.291455,-0.579073,-0.613308,-0.441941,0.006673,-0.326294,0.075683
12,0.013814,-0.251467,-1.91348,-0.157948,-1.053894,-0.576481,-0.413901,-0.510551,-0.303663,-2.981709,-0.755348,0.148864,-0.665253,-0.727706,-1.675863,-0.492536,-0.624099,-2.580382,-0.107038,-2.642692,-0.58497
13,0.093638,2.316733,3.319512,1.971797,1.975876,-1.827276,-1.588865,-1.737381,0.628278,1.178081,-1.903761,2.625621,-1.328769,-1.081121,0.908367,-0.987531,-0.908271,2.221775,1.163297,2.447455,-3.205718
14,0.034145,-0.923319,0.495055,-0.738787,0.70837,-2.007947,-2.550506,-2.640464,1.191857,1.753861,-1.988567,4.19585,-1.724679,-1.739074,-0.106867,-2.745974,-2.368699,1.379972,5.302889,1.145615,1.189343
15,0.050191,0.04449,-0.585785,0.035666,0.724467,-1.663978,-1.903768,-1.607883,1.456965,0.958142,-1.525668,-0.469171,-1.816325,-1.889464,-0.291455,-1.717908,-2.120498,-0.258873,0.565179,-0.256825,1.797688
16,0.028212,-0.645327,-1.011311,-0.545174,-0.17434,-1.337381,-1.510985,-1.474976,1.297563,-0.377535,-1.189978,-0.388832,-1.435078,-1.539809,-0.291455,-1.548294,-1.505392,-0.695446,-0.180131,-0.844732,0.956965
17,0.022343,1.271392,0.421198,2.552636,1.468997,-0.7641,-0.962443,-0.885416,0.954303,0.104527,-0.82602,-0.66495,-1.017173,-1.013446,1.00066,-1.035992,-1.120501,-0.406438,-0.222628,-0.259556,-0.454256
18,0.008814,-0.737504,-0.475102,-0.9324,0.447937,-0.663342,-0.586591,-0.578709,0.679693,-0.550743,-0.575136,-1.361444,-0.804554,-0.784102,-1.675863,-0.637919,-0.724818,-0.101573,-0.591497,-0.302907,0.055071
19,0.009775,-0.091221,0.010992,-0.351561,0.28404,-0.513941,-0.342794,-0.326527,0.234001,-0.5892,-0.486797,-0.606123,-0.41231,-0.366772,-0.014573,-0.409459,-0.537768,-0.040424,-0.150796,-0.274604,-0.637261
20,0.021254,0.377041,2.057514,0.035666,0.7412,-0.753677,-0.545958,-0.534406,0.862271,1.969215,-0.691744,-0.863085,-0.67625,-0.663791,1.831306,-0.461382,-0.383093,0.963589,-0.380586,1.217581,-0.677893
21,0.011787,-1.753879,-2.009223,0.229279,-1.627878,-0.437504,-0.633995,-0.418539,-0.446276,-0.632733,-0.419659,-0.316108,-0.481961,-0.517161,1.185248,-0.603304,-0.793163,-0.189779,-0.148272,-0.280929,2.025221
22,0.008273,1.31682,0.150763,0.229279,0.075709,-0.55216,-0.352952,-0.364013,-0.709006,-0.493831,-0.486797,-0.858325,-0.701911,-0.648752,0.723779,-0.461382,-0.429855,-1.335864,-0.177504,-0.996983,-0.723888
23,0.009211,0.129985,0.950274,-0.738787,0.205199,-0.329797,-0.20058,-0.316303,-0.215393,0.659586,-0.483263,-0.558529,-0.459966,-0.381811,-0.383748,-0.336768,-0.314747,1.677633,-0.604838,1.404141,-0.577129
24,0.057368,0.370896,-0.011521,1.197344,0.654208,-0.242936,-0.159947,-0.135687,1.304461,0.592562,-0.281849,-0.490303,-0.331662,-0.306616,1.00066,-0.302153,-0.307553,-0.263006,-0.291652,-0.1084,0.641522
25,0.008623,0.34444,-0.097743,0.810118,1.068129,0.135777,-0.034663,-0.135687,0.980463,0.41613,0.364795,-0.192006,0.185221,0.016721,-0.014573,-0.264076,-0.232014,0.256998,-0.44907,0.351395,0.570708
26,0.002537,-1.429913,-0.027472,0.422892,-0.871273,0.309499,0.422456,0.351637,0.374525,0.328865,0.219919,0.430646,0.39784,0.328779,0.816073,0.5563,0.559351,0.520502,-0.40714,0.34892,0.384297
27,0.013744,-1.482604,-0.717753,-0.351561,-2.880559,0.173996,0.347962,0.344822,-0.302618,-0.63431,0.128046,-0.638035,0.075246,0.106955,-0.199161,0.282841,0.307553,-0.401575,-0.626705,-0.192108,0.292097
28,0.044972,2.682044,1.034862,-0.545174,0.633723,0.257382,0.273469,0.303927,0.124293,0.626442,0.24112,-0.781556,0.126568,0.129513,-0.476042,0.144381,0.196043,0.205995,-0.55034,-0.017476,-0.725554
29,0.007396,-0.394381,-0.270757,-0.351561,0.067747,0.875831,0.385209,0.402755,0.177846,0.230468,0.781757,0.379149,0.841406,0.787466,-0.199161,0.289764,0.350718,0.139094,-0.551756,0.199879,0.606503
30,0.05234,0.461539,-0.261957,1.971797,0.636976,0.570081,0.730587,0.736726,0.346405,-0.154339,0.605078,-0.252879,0.669111,0.640837,1.092954,0.919758,0.865106,-0.469907,-0.224817,-1.246958,0.188135
31,0.030339,-0.480191,0.146283,-1.126013,-0.04281,0.667365,0.476633,0.457281,0.587964,-0.021122,0.944302,0.267493,0.823076,0.59196,-1.214394,0.320918,0.375898,-0.022262,0.033742,0.732361,-0.218436
32,0.006145,0.286051,-0.205748,-0.157948,0.293669,1.264967,1.323148,1.292207,-0.391667,-0.334604,1.527342,0.463867,1.350957,1.396543,-0.937512,1.144756,1.232011,-0.327859,-0.570815,-0.247191,-0.077685
33,0.013773,-1.558834,-0.01874,-1.126013,-1.816721,1.223274,1.417958,1.333101,-0.297292,-0.410789,1.20932,-0.033731,1.501256,1.565731,-0.66063,1.580905,1.588125,0.83368,-0.427538,0.705699,-0.408897
34,0.030876,0.440298,-0.547213,1.003731,-1.275664,1.310135,1.302832,1.264944,-0.579524,-1.157563,1.251723,-0.449633,1.251979,1.253673,1.369836,1.456291,1.458629,-1.598129,-0.555671,-1.388777,-0.489391
35,0.026304,0.666413,0.350867,0.422892,-0.434712,1.258018,1.140301,1.152485,-1.18518,-0.764746,1.385999,-0.133132,1.262976,1.185998,1.00066,1.144756,1.142083,0.125493,-0.343447,0.125121,-1.278401
36,0.010847,-0.025776,0.388604,-0.9324,-0.511808,1.852146,1.445046,1.684111,-1.574939,-0.324043,1.884233,-0.374244,1.809186,1.806354,-0.937512,1.646674,1.329133,1.104764,-0.180234,1.021237,-0.863367
37,0.001779,0.347043,-0.648047,-1.126013,-0.094435,2.244756,2.030835,1.994226,-2.261627,-1.198767,1.972573,0.22235,2.153774,2.238723,-1.029806,1.972055,1.969419,-1.42807,-0.546657,-1.202107,-0.397739
38,0.00335,-1.186778,-0.56147,-0.9324,-1.711367,2.137049,2.203524,2.239592,-3.236444,-1.963632,2.085647,-0.783912,2.153774,2.197366,-1.491276,2.1209,2.185246,0.668436,-0.582895,0.521038,-1.321936
