PERIOD_INDEX,海外投資家_PREV_NET,海外投資家_CURR_NET,海外投資家_WOW_NET,海外投資家_BUY_RATIO,海外投資家_SELL_RATIO,個人_PREV_NET,個人_CURR_NET,個人_WOW_NET,個人_BUY_RATIO,個人_SELL_RATIO,法人_PREV_NET,法人_CURR_NET,法人_WOW_NET,法人_BUY_RATIO,法人_SELL_RATIO,金融機関_PREV_NET,金融機関_CURR_NET,金融機関_WOW_NET,金融機関_BUY_RATIO,金融機関_SELL_RATIO,信託銀行_PREV_NET,信託銀行_CURR_NET,信託銀行_WOW_NET,信託銀行_BUY_RATIO,信託銀行_SELL_RATIO,投資信託_PREV_NET,投資信託_CURR_NET,投資信託_WOW_NET,投資信託_BUY_RATIO,投資信託_SELL_RATIO,海外投資家_ROLL4_NET,海外投資家_ROLL8_NET,海外投資家_ROLL12_NET,海外投資家_MOM4,個人_ROLL4_NET,個人_ROLL8_NET,個人_ROLL12_NET,個人_MOM4,法人_ROLL4_NET,法人_ROLL8_NET,法人_ROLL12_NET,法人_MOM4,金融機関_ROLL4_NET,金融機関_ROLL8_NET,金融機関_ROLL12_NET,金融機関_MOM4,信託銀行_ROLL4_NET,信託銀行_ROLL8_NET,信託銀行_ROLL12_NET,信託銀行_MOM4,投資信託_ROLL4_NET,投資信託_ROLL8_NET,投資信託_ROLL12_NET,投資信託_MOM4,N225_DAY_BAR_COUNT,N225_DAY_OPEN,N225_DAY_HIGH,N225_DAY_LOW,N225_DAY_CLOSE,N225_DAY_VOLUME,N225_NIGHT_BAR_COUNT,N225_NIGHT_OPEN,N225_NIGHT_HIGH,N225_NIGHT_LOW,N225_NIGHT_CLOSE,N225_NIGHT_VOLUME,TARGET_RETURN
11,-2.258923,0.474937,2.086224,0.662664,-0.315405,-0.108648,-0.907983,-0.610293,-0.576793,0.096081,0.075683,-0.501252,-0.451473,-0.291455,0.252888,0.929943,0.518341,-0.326294,-0.218747,-0.688633,0.841196,0.27894,-0.441941,-0.680939,-0.647245,-0.420709,-0.677464,-0.206333,-1.126013,-0.1841,-1.537392,-1.602737,-1.139242,0.946609,-0.203,0.590167,0.901845,-1.165559,1.272436,1.389076,0.9825,-0.671221,1.990877,1.722992,1.031587,0.215276,1.691504,1.836492,1.189264,-0.012069,0.549464,0.541913,0.349936,-0.887457,0.408944,-0.579073,-0.701911,-0.438986,-0.617539,-1.018813,0.408944,-0.613308,-0.746505,-0.518869,-0.618174,0.006673,0.002981
12,0.457114,-2.238582,-2.099947,-0.27546,-0.192688,-0.908057,1.315387,1.697663,1.139393,-0.79546,-0.58497,-2.981709,-1.91348,-1.675863,1.9631,0.464961,-2.874226,-2.642692,-1.633619,2.060111,0.233399,-3.016357,-2.580382,-1.611719,2.253144,-0.750529,-1.053894,-0.251467,-0.157948,0.892175,-1.761835,-1.917158,-1.546283,-0.404624,-0.247165,0.823262,1.155196,-0.06256,-0.62797,0.093721,-0.303663,-2.670425,0.346883,0.622866,-0.101623,-2.386083,0.017064,0.528874,-0.399526,-2.359822,-0.131079,0.207009,-0.024462,-0.935522,0.408944,-0.492536,-0.665253,-0.510551,-0.755348,0.148864,0.408944,-0.624099,-0.727706,-0.413901,-0.576481,-0.107038,0.013814
13,-2.342947,1.311461,2.805075,1.255164,2.057132,1.315161,1.88259,0.433167,-1.704573,-2.069089,-3.205718,1.178081,3.319512,0.908367,0.008572,-2.924929,0.165595,2.447455,0.488689,0.190965,-3.085391,-0.266849,2.221775,0.435997,0.628926,-1.142717,1.975876,2.316733,1.971797,0.354038,-1.089367,-1.401257,-1.42172,1.517365,1.028197,0.984082,1.151583,2.10089,-1.320922,0.209516,0.628278,-0.914898,-0.709729,0.417111,0.444447,-1.482923,-1.158983,0.045507,0.278129,-1.62013,-0.158174,0.79365,0.727652,0.033577,0.408944,-0.987531,-1.328769,-1.737381,-1.903761,2.625621,0.408944,-0.908271,-1.081121,-1.588865,-1.827276,1.163297,0.093638
14,1.320317,0.221713,-0.828365,2.588288,2.75253,1.882325,-0.077675,-1.496572,-2.538149,-1.941726,1.189343,1.753861,0.495055,-0.106867,-1.701639,0.112493,1.560287,1.145615,0.842407,-0.908532,-0.316281,1.423024,1.379972,0.808309,-0.76326,2.013881,0.70837,-0.923319,-0.738787,-1.260374,-0.164147,-1.364481,-1.342967,2.058987,1.042795,0.971871,0.850148,0.033786,-0.429196,0.930799,1.191857,1.389081,-0.438885,0.856087,0.864513,0.558177,-0.897535,0.497458,0.886332,0.513332,0.395885,0.996122,0.685151,0.89546,0.408944,-2.745974,-1.724679,-2.640464,-1.988567,4.19585,0.408944,-2.368699,-1.739074,-2.550506,-2.007947,5.302889,0.034145
15,0.195814,0.2024,0.009897,0.070164,0.21637,-0.077806,-0.341392,-0.201246,0.109681,0.605533,1.797688,0.958142,-0.585785,-0.291455,-1.538761,1.506085,1.182727,-0.256825,-0.041888,-1.348331,1.385639,1.049969,-0.258873,0.063685,-1.111307,0.693317,0.724467,0.04449,0.035666,-0.722237,-0.270146,-1.17784,-1.459383,-0.150811,1.310952,0.69032,0.970982,0.449512,0.369282,1.147862,1.456965,1.253507,-0.126806,1.120049,1.065983,0.621582,-0.524638,0.733546,1.13299,0.67874,1.122321,1.052792,0.896048,1.151104,0.408944,-1.717908,-1.816325,-1.607883,-1.525668,-0.469171,0.408944,-2.120498,-1.889464,-1.903768,-1.663978,0.565179,0.050191
16,0.175885,0.541353,0.290456,0.119539,-0.601746,-0.341505,-0.632162,-0.2219,0.011613,0.47817,0.956965,-0.377535,-1.011311,-0.291455,0.252888,1.128822,0.06223,-0.844732,0.842407,0.520814,1.009925,0.12737,-0.695446,0.994465,0.512911,0.710088,-0.17434,-0.645327,-0.545174,-0.363479,0.811062,-0.645031,-1.168498,2.393253,0.389214,0.0843,0.707515,-1.501396,1.794104,0.769899,1.297563,2.164154,1.252527,0.925945,0.989262,2.262594,0.995781,0.603836,1.103877,2.381837,1.578078,0.890108,0.892094,0.749673,0.408944,-1.548294,-1.435078,-1.474976,-1.189978,-0.388832,0.408944,-1.505392,-1.539809,-1.510985,-1.337381,-0.180131,0.028212
17,0.525647,0.803327,0.230174,0.662664,0.257276,-0.632255,-0.19367,0.334895,-1.214234,-0.710551,-0.454256,0.104527,0.421198,1.00066,0.822959,0.00921,-0.318782,-0.259556,0.842407,1.070563,0.080748,-0.431435,-0.406438,1.180621,1.325019,-0.226344,1.468997,1.271392,2.552636,0.712796,0.613432,-0.349736,-0.849147,-0.347168,-0.593441,0.267949,0.359717,-1.601273,1.206731,-0.247619,0.954303,-0.761396,1.025002,-0.015848,0.666295,-0.208116,0.916181,-0.453613,0.514537,0.007165,1.315429,0.680413,1.201964,-0.315762,0.408944,-1.035992,-1.017173,-0.885416,-0.82602,-0.66495,0.408944,-1.120501,-1.013446,-0.962443,-0.7641,-0.222628,0.022343
18,0.795977,0.710815,-0.047425,2.687038,1.116298,-0.193793,-0.638479,-0.33951,-1.753607,-0.880368,0.055071,-0.550743,-0.475102,-1.675863,-0.561498,-0.371502,-0.754577,-0.302907,-1.633619,0.630764,-0.482041,-0.606486,-0.101573,-1.425563,0.28088,1.485783,0.447937,-0.737504,-0.9324,-1.439753,0.80366,0.343943,-0.723132,0.483972,-0.858859,0.110581,0.223304,-0.425318,-0.054188,-0.541028,0.679693,-1.740669,-0.062352,-0.614681,0.355572,-1.530192,-0.065362,-1.060044,0.113371,-1.331457,1.180481,0.983734,1.28386,-0.126375,-4.031023,-0.637919,-0.804554,-0.578709,-0.575136,-1.361444,-4.031023,-0.724818,-0.784102,-0.586591,-0.663342,-0.591497,0.008814
19,0.700515,1.365968,0.538075,0.860164,0.093653,-0.638571,-0.405533,0.17796,-0.821963,-0.413371,-0.637261,-0.5892,0.010992,-0.014573,0.578643,-0.806953,-1.154606,-0.274604,-0.218747,0.740714,-0.658339,-0.704564,-0.040424,-0.122471,0.512911,0.421981,0.28404,-0.091221,-0.351561,-0.542858,1.256209,0.559458,-0.342772,1.046102,-0.889216,0.25978,-0.006111,-0.03992,-0.900785,-0.579271,0.234001,-1.138284,-1.16026,-1.191012,-0.113551,-1.54642,-0.913917,-1.460622,-0.399008,-1.134082,0.952266,1.34431,1.199081,-0.264695,0.408944,-0.409459,-0.41231,-0.326527,-0.486797,-0.606123,0.408944,-0.537768,-0.366772,-0.342794,-0.513941,-0.150796,0.009775
20,1.376562,0.53369,-0.626739,-0.96671,-0.151782,-0.405642,0.068768,0.362236,0.060647,0.520624,-0.677893,1.969215,2.057514,1.831306,-0.642937,-1.206666,0.331031,1.217581,0.134971,-0.138884,-0.757117,0.461179,0.963589,0.249841,-0.299198,0.251224,0.7412,0.377041,0.035666,-0.722237,1.253229,1.229991,0.088684,0.069947,-0.557479,-0.110394,-0.309776,0.553755,0.383192,1.573504,0.862271,1.959378,-1.033998,-0.0868,-0.201527,0.33587,-0.752475,-0.044235,-0.392317,0.364908,1.426669,2.017492,1.340244,0.777326,0.408944,-0.461382,-0.67625,-0.534406,-0.691744,-0.863085,0.408944,-0.383093,-0.663791,-0.545958,-0.753677,-0.380586,0.021254
