METRIC,VALUE
SOURCE_FILES,52
PASS_FILES,52
FAIL_FILES,0
TOTAL_ROWS,2496
ROWS_PER_FILE,48
CANONICAL_KEYS,2496
PERIOD:CURRENT,1248
PERIOD:PREVIOUS,1248
SIDE:BUY,1248
SIDE:SELL,1248
SUBSECTION:(direct),832
SUBSECTION:法人内訳,832
SUBSECTION:金融機関内訳,832
CATEGORY:その他法人等,208
CATEGORY:その他金融機関,208
CATEGORY:事業法人,208
CATEGORY:信託銀行,208
CATEGORY:個人,208
CATEGORY:投資信託,208
CATEGORY:法人,208
CATEGORY:海外投資家,208
CATEGORY:生保・損保,208
CATEGORY:証券会社,208
CATEGORY:都銀・地銀等,208
CATEGORY:金融機関,208
