METRIC,VALUE
SOURCE_FILES,52
PASS_FILES,52
FAIL_FILES,0
TOTAL_ROWS,1352
DUPLICATE_CANONICAL_KEYS,0
PERIOD_TYPE:CURRENT,676
PERIOD_TYPE:PREVIOUS,676
SECTION:委託内訳,1352
SUBSECTION:,416
SUBSECTION:法人内訳,520
SUBSECTION:金融機関内訳,416
CATEGORY:Investment,104
CATEGORY:その他法人等,104
CATEGORY:その他金融機関,104
CATEGORY:事業法人,104
CATEGORY:信託銀行,104
CATEGORY:個 人,104
CATEGORY:投資信託,104
CATEGORY:法 人,104
CATEGORY:海外投資家,104
CATEGORY:生保・損保,104
CATEGORY:証券会社,104
CATEGORY:都銀・地銀等,104
CATEGORY:金融機関,104
