ANALYSIS_TYPE,GAP_BUCKET,PREV_RANGE_BUCKET,OPEN_LOCATION,N225_DIMENSION,N225_VALUE,BASE_SAMPLE,CONDITIONAL_SAMPLE,BASE_AVG_MAX_UP_PCT,N225_AVG_MAX_UP_PCT,DELTA_MAX_UP_PCT,BASE_AVG_MAX_DOWN_PCT,N225_AVG_MAX_DOWN_PCT,DELTA_MAX_DOWN_PCT,BASE_AVG_CLOSE_PCT,N225_AVG_CLOSE_PCT,DELTA_CLOSE_PCT
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,DIRECTION,UP_MIXED,5370,4139,1.0529452794255276,1.0396507659317866,-1.2626025068457787,-1.4841980782498645,-1.6631546477174624,-12.057458643163029,-0.5581234863610288,-0.7492413787779015,-34.242940332606935
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,PERSISTENCE,MIXED,5370,4626,1.0529452794255276,1.0477449798161849,-0.4938812786339641,-1.4841980782498645,-1.5827140278843244,-6.637655113435252,-0.5581234863610288,-0.6647474144654222,-19.104003094294157
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RETURN_5M,0.05~0.2%,5370,4156,1.0529452794255276,1.0509219793814277,-0.19215623866073842,-1.4841980782498645,-1.6452778661111318,-10.852984532307792,-0.5581234863610288,-0.7215008422158895,-29.272617950569114
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RETURN_10M,0.2~0.5%,5370,4079,1.0529452794255276,1.0342855916772038,-1.7721422103249558,-1.4841980782498645,-1.659966637048095,-11.84266179656378,-0.5581234863610288,-0.7427496060467849,-33.07979760707085
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RANGE_10M,0.2~0.5%,5370,5012,1.0529452794255276,1.0522330819909422,-0.06763859893782498,-1.4841980782498645,-1.5212826052906199,-2.4986238416697506,-0.5581234863610288,-0.5939962603782699,-6.427390155381557
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,0.5~1%,5370,4007,1.0529452794255276,1.0508801860981318,-0.19612541769715527,-1.4841980782498645,-1.6821551943595385,-13.337648054571055,-0.5581234863610288,-0.7532325101262597,-34.958038594172734
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,DIRECTION,DOWN,5370,377,1.0529452794255276,1.2172116348316988,15.60065452744065,-1.4841980782498645,-0.8951750971807982,39.68627838163151,-0.5581234863610288,0.09302128816418359,116.66679335977838
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,PERSISTENCE,DOWN_PERSISTENT,5370,377,1.0529452794255276,1.2172116348316988,15.60065452744065,-1.4841980782498645,-0.8951750971807982,39.68627838163151,-0.5581234863610288,0.09302128816418359,116.66679335977838
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RETURN_5M,-0.2~-0.05%,5370,474,1.0529452794255276,1.0244953820164522,-2.7019350354652154,-1.4841980782498645,-0.8226023407124049,44.57597319608442,-0.5581234863610288,0.05312511586241046,109.51852361719926
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RETURN_10M,-0.2~0%,5370,430,1.0529452794255276,1.2861855393010995,22.151223281310926,-1.4841980782498645,-0.8289071132130464,44.151179996778026,-0.5581234863610288,0.06845197348937102,112.26466457014355
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RETURN_5M,-0.05~0.05%,5370,357,1.0529452794255276,1.1176661624663684,6.1466520915646825,-1.4841980782498645,-1.0872672581327676,26.74379019444288,-0.5581234863610288,-0.12561433947013845,77.49345036720364
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,-1~-0.5%,5370,170,1.0529452794255276,0.8330951765913832,-20.87953734443746,-1.4841980782498645,-0.850664268112291,42.68526010252104,-0.5581234863610288,0.0673701949096139,112.07084033479191
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RETURN_10M,0~0.2%,5370,417,1.0529452794255276,0.9885139102397996,-6.119156469449283,-1.4841980782498645,-0.7827827424560202,47.25887643116602,-0.5581234863610288,0.14975003352840555,126.8309858280248
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,0~0.5%,5370,512,1.0529452794255276,0.9727463213997782,-7.616631138657541,-1.4841980782498645,-0.9210579553941796,37.9423832376692,-0.5581234863610288,-0.09245531404683437,83.43461325205215
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RANGE_10M,0.5~1%,5370,304,1.0529452794255276,1.0245319965153266,-2.6984576943735346,-1.4841980782498645,-0.913153330812022,38.47496879333024,-0.5581234863610288,-0.0017007773985012887,99.69526862064338
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,DIRECTION,DOWN_MIXED,5370,408,1.0529452794255276,1.1635801682310452,10.507183133569713,-1.4841980782498645,-0.9470068475515396,36.19403896087574,-0.5581234863610288,0.021940945518155605,103.93119910814197
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,-2~-1%,5370,157,1.0529452794255276,0.9228573616536395,-12.354670305646108,-1.4841980782498645,-0.8515648444884742,42.62458246188933,-0.5581234863610288,0.2076249458144051,137.20053910795298
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RETURN_10M,-0.5~-0.2%,5370,351,1.0529452794255276,1.1103229388687623,5.449253685294943,-1.4841980782498645,-1.1596526900777309,21.866716641678366,-0.5581234863610288,-0.09387809209244663,83.17969152229504
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,DIRECTION,FLAT_MIXED,5370,81,1.0529452794255276,0.8793033841423513,-16.491065459537737,-1.4841980782498645,-0.641796642947669,56.75801954248168,-0.5581234863610288,0.23761911097626442,142.57464822445363
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,1~2%,5370,127,1.0529452794255276,0.9552764453900977,-9.275774909092776,-1.4841980782498645,-0.8956671181189505,39.653127756700606,-0.5581234863610288,-0.18346048386580519,67.12905148250086
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RETURN_5M,-0.5~-0.2%,5370,153,1.0529452794255276,1.2958852281286684,23.07241918931299,-1.4841980782498645,-0.9727780156415293,34.45766910110752,-0.5581234863610288,0.17048056453840693,130.54531276759954
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,DIRECTION,UP,5370,365,1.0529452794255276,0.9489001677755277,-9.881340814478559,-1.4841980782498645,-0.8506883829650805,42.68363532930897,-0.5581234863610288,0.11155853590310491,119.98814574718362
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,PERSISTENCE,UP_PERSISTENT,5370,365,1.0529452794255276,0.9489001677755277,-9.881340814478559,-1.4841980782498645,-0.8506883829650805,42.68363532930897,-0.5581234863610288,0.11155853590310491,119.98814574718362
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RETURN_5M,0.2~0.5%,5370,218,1.0529452794255276,0.9088789872206802,-13.682220246378618,-1.4841980782498645,-0.889633273833349,40.059666774236355,-0.5581234863610288,-0.0026767224792985304,99.52040676575882
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,-0.5~0%,5370,346,1.0529452794255276,1.2916057419891476,22.665989128497714,-1.4841980782498645,-0.7908470910046537,46.71552924140664,-0.5581234863610288,0.17847526909875,131.97773852206268
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,RETURN_10M,0.5~1%,5370,56,1.0529452794255276,0.8605194921238377,-18.275003560173115,-1.4841980782498645,-1.2246292758801862,17.48882485252618,-0.5581234863610288,-0.5246147933178443,6.003813468173778
CONDITIONAL,UNKNOWN,UNKNOWN,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,<-2%,5370,37,1.0529452794255276,1.3541645577314554,28.607306019764756,-1.4841980782498645,-2.005258701540209,-35.10721587139962,-0.5581234863610288,-0.871002881080407,-56.059170123686286
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,DIRECTION,DOWN,201675,42129,1.1499485636137547,1.0797556036441367,-6.104008665312312,-1.0395238850803967,-1.1518846796941522,-10.808870890452459,0.022798387784837313,-0.09778007157608709,-528.8902903964041
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,PERSISTENCE,DOWN_PERSISTENT,201675,42129,1.1499485636137547,1.0797556036441367,-6.104008665312312,-1.0395238850803967,-1.1518846796941522,-10.808870890452459,0.022798387784837313,-0.09778007157608709,-528.8902903964041
