METRIC,VALUE
TOTAL_ROWS,705485
EVALUATED_ROWS,660922
LIMITED_ROWS,44563
KEY_MISMATCH,0
N225_PIT_FAIL,0
BASELINE_GROUPS,109
N225_GROUPS,36
MIN_SAMPLE,30
N225_INFORMATION_VALUE_AUDIT,PASS
